ID_estudiante,Grupo,Facultad,Seccion,Seccion_area,Genero,Anio_nacimiento,Ciclo_academico,Experiencia_previa_IA,D1_01,D1_02,D1_03,D1_04,D1_05,D1_06,D2_01,D2_02,D2_03,D2_04,D2_05,D2_06,D3_01,D3_02,D3_03,D3_04,D3_05,D3_06,D3_07,D3_08,D4_01,D4_02,D4_03,D4_04,D4_05,D4_06,OBJ_D1_01,OBJ_D1_02,OBJ_D1_03,OBJ_D1_04,OBJ_D1_05,OBJ_D1_06,OBJ_D2_01,OBJ_D2_02,OBJ_D2_03,OBJ_D2_04,OBJ_D2_05,OBJ_D2_06,OBJ_D3_01,OBJ_D3_02,OBJ_D3_03,OBJ_D3_04,OBJ_D3_05,OBJ_D3_06,OBJ_D3_07,OBJ_D3_08,OBJ_D4_01,OBJ_D4_02,OBJ_D4_03,OBJ_D4_04,OBJ_D4_05,OBJ_D4_06,Tiempo,Score_conocimiento,Score_D1,Score_conocimiento_D1,Score_D2,Score_conocimiento_D2,Score_D3,Score_conocimiento_D3,Score_D4,Score_conocimiento_D4,Score_total_autopercepcion
1,Experimental,Arte y Humanidades,4,Social Sciences/Education,Masculino,2002,6,Básica,4,5,5,4,3,5,5,3,5,4,3,3,5,5,5,5,5,5,5,4,5,4,5,3,5,4,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,T1,22,4.33,4,3.83,6,4.88,7,4.33,5,4.38
2,Experimental,Ciencias Sociales,4,Social Sciences/Education,Masculino,2002,6,Básica,4,3,4,4,3,3,2,2,3,2,2,1,5,5,5,5,5,4,5,5,2,3,3,5,4,3,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,T1,20,3.5,6,2.0,3,4.88,7,3.33,4,3.54
3,Experimental,Ciencias de la Salud,1,Engineering/Sciences,Masculino,2004,2,Básica,4,3,4,5,5,3,4,2,4,2,4,2,5,4,4,5,4,5,3,4,4,5,4,2,4,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,T1,22,4.0,5,3.0,5,4.25,6,3.67,6,3.77
4,Experimental,Ingeniería,2,Engineering/Sciences,Masculino,2004,5,Avanzada,3,4,2,2,3,4,2,3,1,2,3,2,3,2,2,3,3,1,2,2,2,2,4,2,2,3,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,T1,10,3.0,4,2.17,3,2.25,0,2.5,3,2.46
5,Experimental,Ingeniería,2,Engineering/Sciences,Masculino,2003,6,Básica,3,4,4,2,3,5,3,3,2,3,2,3,4,4,3,4,5,5,5,4,3,3,2,2,3,4,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,T1,16,3.5,4,2.67,2,4.25,8,2.83,2,3.38
6,Experimental,Ciencias de la Salud,1,Engineering/Sciences,Femenino,2001,8,Básica,3,5,5,5,5,5,3,3,3,3,2,5,4,5,4,3,5,3,5,2,2,2,2,3,2,2,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,T1,17,4.67,5,3.17,5,3.88,4,2.17,3,3.5
7,Experimental,Ciencias,1,Engineering/Sciences,No binario,2000,5,Básica,1,1,1,2,2,2,1,1,1,2,1,2,1,1,3,1,2,1,2,2,1,2,2,2,3,2,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,T1,7,1.5,2,1.33,2,1.62,3,2.0,0,1.62
8,Experimental,Educación,3,Social Sciences/Education,Masculino,2000,2,Ninguna,3,2,2,2,3,3,2,2,2,2,3,2,2,2,4,2,2,2,4,2,4,5,2,5,4,2,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,T1,11,2.5,3,2.17,2,2.5,2,3.67,4,2.69
9,Experimental,Ingeniería,2,Engineering/Sciences,Masculino,2005,4,Básica,5,3,5,5,5,5,3,5,3,3,4,1,5,5,5,5,3,1,4,5,4,4,2,3,2,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,T1,22,4.67,6,3.17,5,4.12,8,3.0,3,3.77
10,Experimental,Educación,3,Social Sciences/Education,Masculino,2002,6,Ninguna,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,T1,3,1.17,0,1.0,1,1.25,1,1.33,1,1.19
