ID_estudiante,Grupo,Facultad,Seccion,Seccion_area,Genero,Anio_nacimiento,Ciclo_academico,Experiencia_previa_IA,D1_01,D1_02,D1_03,D1_04,D1_05,D1_06,D2_01,D2_02,D2_03,D2_04,D2_05,D2_06,D3_01,D3_02,D3_03,D3_04,D3_05,D3_06,D3_07,D3_08,D4_01,D4_02,D4_03,D4_04,D4_05,D4_06,OBJ_D1_01,OBJ_D1_02,OBJ_D1_03,OBJ_D1_04,OBJ_D1_05,OBJ_D1_06,OBJ_D2_01,OBJ_D2_02,OBJ_D2_03,OBJ_D2_04,OBJ_D2_05,OBJ_D2_06,OBJ_D3_01,OBJ_D3_02,OBJ_D3_03,OBJ_D3_04,OBJ_D3_05,OBJ_D3_06,OBJ_D3_07,OBJ_D3_08,OBJ_D4_01,OBJ_D4_02,OBJ_D4_03,OBJ_D4_04,OBJ_D4_05,OBJ_D4_06,Tiempo,Score_conocimiento,Score_D1,Score_conocimiento_D1,Score_D2,Score_conocimiento_D2,Score_D3,Score_conocimiento_D3,Score_D4,Score_conocimiento_D4,Score_total_autopercepcion
1,Experimental,Arte y Humanidades,4,Social Sciences/Education,Masculino,2002,6,Básica,4,4,5,4,3,5,5,3,5,4,2,3,5,5,5,5,5,5,4,3,5,4,5,4,5,4,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,T2,21,4.17,6,3.67,4,4.62,7,4.5,4,4.27
2,Experimental,Ciencias Sociales,4,Social Sciences/Education,Masculino,2002,6,Básica,4,3,4,4,3,3,2,2,2,2,2,1,5,5,5,5,5,4,5,5,2,2,3,4,4,2,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,T2,13,3.5,4,1.83,0,4.88,6,2.83,3,3.38
3,Experimental,Ciencias de la Salud,1,Engineering/Sciences,Masculino,2004,2,Básica,4,3,4,4,5,3,4,3,4,2,4,2,4,4,4,5,4,5,3,4,4,5,4,2,4,3,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,T2,14,3.83,4,3.17,3,4.12,5,3.67,2,3.73
4,Experimental,Ingeniería,2,Engineering/Sciences,Masculino,2004,5,Avanzada,3,4,1,3,3,4,2,2,1,2,3,2,3,2,2,3,3,1,3,2,3,2,4,2,1,3,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,T2,10,3.0,2,2.0,1,2.38,5,2.5,2,2.46
5,Experimental,Ingeniería,2,Engineering/Sciences,Masculino,2003,6,Básica,2,4,4,2,2,4,2,3,2,3,2,3,4,4,3,4,5,5,5,4,3,3,2,2,3,3,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,T2,15,3.0,4,2.5,2,4.25,5,2.67,4,3.19
6,Experimental,Ciencias de la Salud,1,Engineering/Sciences,Femenino,2001,8,Básica,3,4,5,5,5,5,2,3,3,2,2,4,4,5,4,3,5,3,5,2,2,2,2,4,2,2,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,T2,16,4.5,5,2.67,3,3.88,6,2.33,2,3.38
7,Experimental,Ciencias,1,Engineering/Sciences,No binario,2000,5,Básica,1,1,1,1,2,2,1,1,1,2,1,2,1,1,2,1,2,1,2,2,1,1,2,3,3,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,T2,5,1.33,0,1.33,2,1.5,1,2.0,2,1.54
8,Experimental,Educación,3,Social Sciences/Education,Masculino,2000,2,Ninguna,3,2,2,2,4,3,2,2,2,1,3,2,2,2,4,1,3,2,3,2,4,5,1,5,3,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,T2,11,2.67,3,2.0,4,2.38,2,3.33,2,2.58
9,Experimental,Ingeniería,2,Engineering/Sciences,Masculino,2005,4,Básica,5,3,5,5,5,5,3,5,3,3,4,1,5,5,5,5,2,1,4,5,4,4,3,3,2,3,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,T2,18,4.67,5,3.17,3,4.0,6,3.17,4,3.77
10,Experimental,Educación,3,Social Sciences/Education,Masculino,2002,6,Ninguna,2,1,1,1,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,T2,4,1.5,2,1.17,1,1.38,1,1.33,0,1.35
11,Experimental,Educación,3,Social Sciences/Education,Masculino,2002,2,Intermedia,4,3,3,4,5,4,2,2,3,3,4,3,4,5,2,4,4,4,2,4,4,3,3,3,2,5,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,T2,15,3.83,4,2.83,3,3.62,5,3.33,3,3.42
12,Experimental,Ciencias Sociales,4,Social Sciences/Education,Femenino,2005,6,Ninguna,2,2,2,3,4,3,3,1,2,3,2,2,4,4,3,3,3,4,4,3,4,4,4,2,4,5,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,T2,14,2.67,2,2.17,1,3.5,7,3.83,4,3.08
13,Experimental,Ciencias de la Salud,1,Engineering/Sciences,Femenino,2001,8,Intermedia,2,2,3,3,4,2,2,3,1,1,2,2,3,4,4,2,4,3,4,3,3,3,3,3,2,3,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,T2,13,2.67,5,1.83,1,3.38,5,2.83,2,2.73
14,Experimental,Educación,3,Social Sciences/Education,Masculino,1998,6,Básica,3,3,3,3,2,2,2,1,2,2,2,4,5,3,3,3,5,2,5,4,4,4,4,5,2,2,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,T2,13,2.67,3,2.17,1,3.75,5,3.5,4,3.08
15,Experimental,Ciencias,1,Engineering/Sciences,Masculino,2002,7,Básica,1,1,3,1,1,3,2,2,1,1,3,1,3,5,2,3,4,4,3,4,2,3,4,5,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,T2,7,1.67,1,1.67,0,3.5,3,3.33,3,2.62
