"Factor","Item","Carga_std","SE","p"
"D1","D1_01",0.8599,0.0273,0
"D1","D1_02",0.8862,0.0292,0
"D1","D1_03",0.8189,0.0382,0
"D1","D1_04",0.83,0.0298,0
"D1","D1_05",0.7794,0.0388,0
"D1","D1_06",0.7032,0.0493,0
"D2","D2_01",0.8962,0.0227,0
"D2","D2_02",0.8434,0.0318,0
"D2","D2_03",0.9018,0.0217,0
"D2","D2_04",0.8616,0.0257,0
"D2","D2_05",0.8383,0.0331,0
"D2","D2_06",0.8069,0.0358,0
"D3","D3_01",0.8333,0.0279,0
"D3","D3_02",0.8807,0.0231,0
"D3","D3_03",0.7251,0.0396,0
"D3","D3_04",0.8494,0.0282,0
"D3","D3_05",0.8276,0.0292,0
"D3","D3_06",0.7059,0.0424,0
"D3","D3_07",0.7409,0.0427,0
"D3","D3_08",0.7587,0.0427,0
"D4","D4_01",0.8208,0.0368,0
"D4","D4_02",0.8322,0.0315,0
"D4","D4_03",0.8581,0.0289,0
"D4","D4_04",0.7447,0.0377,0
"D4","D4_05",0.7715,0.0347,0
"D4","D4_06",0.8195,0.0342,0
