"Dimension","Modelo","chisq","df","CFI","RMSEA","dCFI","Cumple"
"D1","configural",115.9,114,1,0.0107,"",""
"D1","umbrales",142.1,138,0.9999,0.014,"0","SI"
"D1","umbrales_cargas",150,148,1,0.0096,"0","SI"
"D2","configural",161.2,114,0.9989,0.0527,"",""
"D2","umbrales",184.5,138,0.9989,0.0476,"0","SI"
"D2","umbrales_cargas",195.1,148,0.9989,0.0462,"0","SI"
"D3","configural",281,225,0.999,0.0409,"",""
"D3","umbrales",315.2,257,0.999,0.039,"0","SI"
"D3","umbrales_cargas",330.1,271,0.9989,0.0383,"0","SI"
"D4","configural",169.4,114,0.9994,0.0571,"",""
"D4","umbrales",201.4,138,0.9993,0.0555,"-1e-04","SI"
"D4","umbrales_cargas",213.3,148,0.9993,0.0544,"0","SI"
