Outcome,b_rangos,t_clasico,p_clasico,SE_CR2,gl_Satt,p_CR2
Score_total_autopercepcion,19.7,16.93,<.0001,0.94,5.87,<.0001
Score_conocimiento,36.07,9.2,<.0001,2.34,5.87,<.0001
Score_D1,18.66,10.75,<.0001,2.36,5.87,0.0002
Score_D2,12.55,6.48,<.0001,0.96,5.86,<.0001
Score_D3,18.66,10.27,<.0001,1.44,5.86,<.0001
Score_D4,17.39,10.38,<.0001,1.58,5.87,<.0001
Score_conocimiento_D1,24.83,4.38,<.0001,6.74,5.86,0.0107
Score_conocimiento_D2,28.32,4.65,<.0001,7.32,5.87,0.0086
Score_conocimiento_D3,30.41,5.75,<.0001,5.33,5.86,0.0014
Score_conocimiento_D4,30.54,5.7,<.0001,4.68,5.86,0.0007
