Outcome,Ola,ICC_seccion,IC95_inf,IC95_sup,Design_effect
Score_total_autopercepcion,T0,-0.0163,-0.0392,0.0937,1.0
Score_total_autopercepcion,T1,0.0478,-0.01,0.2759,1.846
Score_total_autopercepcion,T2,0.0277,-0.0194,0.2248,1.49
Score_conocimiento,T0,-0.0177,-0.0398,0.0892,1.0
Score_conocimiento,T1,0.2109,0.0753,0.5634,4.732
Score_conocimiento,T2,0.1256,0.0286,0.4358,3.222
Score_D1,T0,-0.0091,-0.0361,0.1172,1.0
Score_D1,T1,0.0466,-0.0105,0.2731,1.826
Score_D1,T2,0.0424,-0.0125,0.2625,1.75
Score_D2,T0,-0.0217,-0.0416,0.0755,1.0
Score_D2,T1,0.019,-0.0234,0.2011,1.336
Score_D2,T2,-0.0043,-0.0339,0.1324,1.0
Score_D3,T0,-0.0306,-0.0454,0.0443,1.0
Score_D3,T1,0.0089,-0.028,0.1724,1.158
Score_D3,T2,-0.0009,-0.0324,0.1429,1.0
Score_D4,T0,-0.0109,-0.0368,0.1116,1.0
Score_D4,T1,0.0363,-0.0154,0.2473,1.643
Score_D4,T2,0.0187,-0.0235,0.2002,1.33
Score_conocimiento_D1,T0,-0.0101,-0.0365,0.1141,1.0
Score_conocimiento_D1,T1,0.1242,0.0279,0.4334,3.199
Score_conocimiento_D1,T2,0.0996,0.0153,0.388,2.763
Score_conocimiento_D2,T0,-0.0461,-0.0521,-0.0143,1.0
Score_conocimiento_D2,T1,0.1336,0.0327,0.4495,3.364
Score_conocimiento_D2,T2,0.0298,-0.0184,0.2304,1.528
Score_conocimiento_D3,T0,-0.001,-0.0324,0.1426,1.0
Score_conocimiento_D3,T1,0.1279,0.0298,0.4398,3.264
Score_conocimiento_D3,T2,0.0767,0.0039,0.3415,2.357
Score_conocimiento_D4,T0,-0.0315,-0.0459,0.0408,1.0
Score_conocimiento_D4,T1,0.1173,0.0243,0.4212,3.077
Score_conocimiento_D4,T2,0.0685,-0.0,0.3239,2.213
