Outcome,Shapiro_pmin_Exp,Shapiro_pmin_Ctrl,Levene_p_T0,Levene_p_T1,Levene_p_T2,Mauchly_W,Mauchly_p,eps_GG,eps_HF
Autopercepcion total,0.1586,0.1228,0.3719,0.7682,0.9272,0.8173,0.0,0.8455,0.8484
Autopercepcion D1 (conceptual),0.0245,0.0233,0.805,0.1176,0.3935,0.8304,0.0,0.855,0.8581
Autopercepcion D2 (tecnica),0.0024,0.0001,0.4364,0.9363,0.9976,0.8529,0.0,0.8718,0.8753
Autopercepcion D3 (etica),0.0019,0.195,0.9155,0.9009,0.8585,0.7849,0.0,0.823,0.8254
Autopercepcion D4 (colaborativa),0.061,0.0087,0.3583,0.6224,0.9831,0.7445,0.0,0.7965,0.7984
Conocimiento total,0.1152,0.0024,0.5611,0.176,0.6066,0.9631,0.0629,0.9644,0.9703
Conocimiento D1,0.0,0.0003,0.5437,0.1082,0.0765,0.9574,0.0408,0.9592,0.9649
Conocimiento D2,0.0,0.0,0.4089,0.1879,0.1005,0.9758,0.1648,0.9763,0.9825
Conocimiento D3,0.0,0.0041,0.1954,0.5325,0.339,0.9893,0.4528,0.9894,0.9959
Conocimiento D4,0.0001,0.0,0.4016,0.1191,0.0693,0.9982,0.8734,0.9982,1.0
