Outcome,d_T1,d_T2,RR,RR_IC95_inf,RR_IC95_sup,Cumple_80pct
Autopercepcion total,0.488,0.388,0.795,0.469,0.887,NO
Autopercepcion D1 (conceptual),0.377,0.325,0.862,0.087,1.011,Si
Autopercepcion D2 (tecnica),0.363,0.207,0.569,-0.306,0.76,NO
Autopercepcion D3 (etica),0.416,0.347,0.833,0.571,0.965,Si
Autopercepcion D4 (colaborativa),0.444,0.379,0.853,0.68,0.949,Si
Conocimiento total,0.956,0.69,0.722,0.544,0.827,NO
Conocimiento D1,0.616,0.561,0.911,0.562,1.417,Si
Conocimiento D2,0.725,0.356,0.491,0.156,0.763,NO
Conocimiento D3,0.771,0.63,0.817,0.528,1.169,Si
Conocimiento D4,0.719,0.447,0.621,0.169,1.119,NO
