Instrumento,Dimension,Ola,Coef,k_items
Autopercepcion (alfa),D1,T0,0.897,6
Autopercepcion (alfa),D2,T0,0.916,6
Autopercepcion (alfa),D3,T0,0.912,8
Autopercepcion (alfa),D4,T0,0.891,6
Autopercepcion (alfa),Total,T0,0.953,26
Conocimiento (KR-20),D1,T0,0.563,6
Conocimiento (KR-20),D2,T0,0.473,6
Conocimiento (KR-20),D3,T0,0.577,8
Conocimiento (KR-20),D4,T0,0.547,6
Conocimiento (KR-20),Total,T0,0.746,26
Autopercepcion (alfa),D1,T1,0.866,6
Autopercepcion (alfa),D2,T1,0.87,6
Autopercepcion (alfa),D3,T1,0.891,8
Autopercepcion (alfa),D4,T1,0.86,6
Autopercepcion (alfa),Total,T1,0.941,26
Conocimiento (KR-20),D1,T1,0.726,6
Conocimiento (KR-20),D2,T1,0.668,6
Conocimiento (KR-20),D3,T1,0.732,8
Conocimiento (KR-20),D4,T1,0.699,6
Conocimiento (KR-20),Total,T1,0.866,26
Autopercepcion (alfa),D1,T2,0.85,6
Autopercepcion (alfa),D2,T2,0.855,6
Autopercepcion (alfa),D3,T2,0.873,8
Autopercepcion (alfa),D4,T2,0.833,6
Autopercepcion (alfa),Total,T2,0.933,26
Conocimiento (KR-20),D1,T2,0.622,6
Conocimiento (KR-20),D2,T2,0.665,6
Conocimiento (KR-20),D3,T2,0.649,8
Conocimiento (KR-20),D4,T2,0.662,6
Conocimiento (KR-20),Total,T2,0.83,26
