Outcome,Ola,EMM_Exp,SE_Exp,EMM_Ctrl,SE_Ctrl,Dif_ajustada,IC95_inf,IC95_sup,"F(1,147)",p,eta2p,eta2p_IC90_inf,eta2p_IC90_sup,F_pendientes,p_pendientes
Autopercepcion total,T1,3.05,0.014,2.66,0.014,0.39,0.351,0.429,390.59,<.0001,0.727,0.666,0.769,25.552,0.0
Autopercepcion total,T2,2.973,0.015,2.67,0.015,0.303,0.262,0.345,212.05,<.0001,0.591,0.507,0.652,20.646,0.0
Autopercepcion D1 (conceptual),T1,3.172,0.027,2.736,0.027,0.436,0.359,0.513,126.21,<.0001,0.462,0.365,0.538,16.64,0.0001
Autopercepcion D1 (conceptual),T2,3.114,0.03,2.732,0.03,0.382,0.298,0.466,81.07,<.0001,0.355,0.255,0.441,6.827,0.0099
Autopercepcion D2 (tecnica),T1,2.413,0.025,2.141,0.025,0.272,0.203,0.342,59.8,<.0001,0.289,0.19,0.378,5.172,0.0244
Autopercepcion D2 (tecnica),T2,2.312,0.028,2.184,0.028,0.128,0.049,0.208,10.27,0.0017,0.065,0.015,0.137,1.713,0.1926
Autopercepcion D3 (etica),T1,3.49,0.026,3.072,0.026,0.418,0.346,0.49,132.39,<.0001,0.474,0.378,0.549,1.419,0.2355
Autopercepcion D3 (etica),T2,3.4,0.028,3.057,0.028,0.342,0.265,0.42,75.98,<.0001,0.341,0.24,0.428,1.727,0.1909
Autopercepcion D4 (colaborativa),T1,2.974,0.027,2.555,0.027,0.419,0.343,0.495,119.54,<.0001,0.448,0.351,0.526,8.419,0.0043
Autopercepcion D4 (colaborativa),T2,2.925,0.032,2.577,0.032,0.348,0.258,0.438,58.27,<.0001,0.284,0.185,0.373,5.414,0.0214
Conocimiento total,T1,14.514,0.367,9.526,0.367,4.987,3.961,6.013,92.26,<.0001,0.386,0.285,0.469,1.887,0.1716
Conocimiento total,T2,13.222,0.364,9.858,0.364,3.364,2.347,4.381,42.7,<.0001,0.225,0.132,0.315,0.736,0.3923
Conocimiento D1,T1,3.574,0.176,2.492,0.176,1.082,0.589,1.575,18.81,<.0001,0.113,0.044,0.196,0.463,0.4975
Conocimiento D1,T2,3.389,0.155,2.518,0.155,0.871,0.438,1.304,15.8,0.0001,0.097,0.034,0.177,0.002,0.9604
Conocimiento D2,T1,2.562,0.159,1.465,0.159,1.097,0.652,1.542,23.74,<.0001,0.139,0.063,0.225,0.529,0.4683
Conocimiento D2,T2,2.038,0.145,1.509,0.145,0.529,0.123,0.936,6.62,0.0111,0.043,0.005,0.107,0.459,0.4991
Conocimiento D3,T1,5.184,0.191,3.696,0.191,1.488,0.954,2.021,30.38,<.0001,0.171,0.087,0.26,0.284,0.5948
Conocimiento D3,T2,4.837,0.174,3.71,0.174,1.127,0.642,1.613,21.09,<.0001,0.125,0.053,0.21,0.06,0.8066
Conocimiento D4,T1,3.208,0.158,1.858,0.158,1.35,0.907,1.793,36.32,<.0001,0.198,0.109,0.288,0.001,0.9817
Conocimiento D4,T2,2.966,0.152,2.114,0.152,0.853,0.428,1.277,15.75,0.0001,0.097,0.034,0.176,0.071,0.7906
